params,ari_mean,ari_std,ari_median,nmi_mean,nmi_std,nmi_median,silhouette_mean,silhouette_std,silhouette_median,davies_bouldin_mean,davies_bouldin_std,davies_bouldin_median,coverage_mean,coverage_std,coverage_median,n_runs_ok,dataset,config_id
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 5, 'n_marker_agents': 3, 'n_transporter_agents': 20, 'tau_percentile': 25, 'iterations': 2500}",0.29699677394266233,0.06716524879135001,0.2827258636028671,0.4885846744346355,0.04379542787859983,0.4879094510174463,-0.5145843292541757,0.07478725297715946,-0.5254002774049049,13.987939361724479,5.282520331286204,11.971034285553884,0.996441947565543,0.006723341974163389,1.0,30,wine,131
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 5, 'n_marker_agents': 3, 'n_transporter_agents': 10, 'tau_percentile': 25, 'iterations': 2500}",0.2931947687456868,0.06960689548390246,0.2772612106095337,0.48880148585851635,0.04271104022686081,0.4905214276947726,-0.5167479946706545,0.061246403107424754,-0.5164034296464595,12.999481519984313,4.030482832923941,13.106841068067013,0.9934456928838952,0.012980918970504407,1.0,30,wine,129
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 8, 'n_marker_agents': 3, 'n_transporter_agents': 3, 'tau_percentile': 25, 'iterations': 2500}",0.2927588614182658,0.07664022094537265,0.2748302472661589,0.5034511907349456,0.038607499845634205,0.5003029044272396,-0.5884309655852478,0.051517817986667234,-0.5905135105414008,12.085775346527493,6.1478992724844375,11.667670945214772,0.997378277153558,0.005753667226867884,1.0,30,wine,145
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 5, 'n_marker_agents': 3, 'n_transporter_agents': 3, 'tau_percentile': 25, 'iterations': 2500}",0.2885912536935425,0.07135466836300337,0.27644997191821763,0.487234156757095,0.0410182957215503,0.4820586841787201,-0.5119579903769258,0.06727390491262972,-0.5141504812375647,12.358030450966007,4.348640803672657,11.544872220584868,0.9973782771535581,0.00842488530277303,1.0,30,wine,127
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 5, 'n_marker_agents': 10, 'n_transporter_agents': 3, 'tau_percentile': 25, 'iterations': 2500}",0.2879477191517726,0.055418954799704954,0.27951995752119413,0.48775311368712626,0.030738423120343746,0.49423175604373365,-0.503648356544656,0.06178803192795462,-0.4990811328103616,11.502356123392508,3.646319226057491,11.323458526794067,1.0,0.0,1.0,30,wine,133
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 5, 'n_marker_agents': 3, 'n_transporter_agents': 3, 'tau_percentile': 15, 'iterations': 2500}",0.2871280745135038,0.05788707693046626,0.28685270983986094,0.4885863928490746,0.03314145527760262,0.49249311137418894,-0.5279658679748506,0.06500149975430383,-0.5364920638150659,14.292291625609613,4.8489057922271765,13.648833849644394,0.996816479400749,0.005165960383570694,1.0,30,wine,126
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 5, 'n_marker_agents': 10, 'n_transporter_agents': 20, 'tau_percentile': 25, 'iterations': 2500}",0.28683607249937965,0.06415074974840772,0.2873450101386875,0.48838845789634805,0.04046454355675816,0.49187606580348303,-0.5129263512293213,0.06296814587400011,-0.5135757177630145,13.689146617262587,8.58082240409617,12.234073901002523,1.0,0.0,1.0,30,wine,137
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 5, 'n_marker_agents': 20, 'n_transporter_agents': 20, 'tau_percentile': 25, 'iterations': 2500}",0.28650780576345275,0.047894752384080176,0.2789009335212432,0.4899111235706678,0.031767220903832036,0.48903418618433003,-0.5001820165321642,0.058538178511107986,-0.5071341664563251,13.545167678253508,5.502890200748241,11.747853282538511,1.0,0.0,1.0,30,wine,143
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 5, 'n_marker_agents': 10, 'n_transporter_agents': 10, 'tau_percentile': 25, 'iterations': 2500}",0.2862530391175263,0.05280471121456939,0.28171229959604205,0.48754855269621544,0.02908223063351453,0.4902814142194195,-0.507279824396415,0.07515262902798069,-0.5170228702468849,12.856665137630598,4.332790685593332,11.33576835344236,1.0,0.0,1.0,30,wine,135
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 5, 'n_marker_agents': 20, 'n_transporter_agents': 3, 'tau_percentile': 25, 'iterations': 2500}",0.28557641865992855,0.048587613106618806,0.28145101173513287,0.48909424662964845,0.029390098851368052,0.49515907183481356,-0.4834861087329533,0.06721918596156876,-0.48245361749357213,13.305693633874135,5.069212233452603,12.149613805694955,1.0,0.0,1.0,30,wine,139
