params,ari_mean,ari_std,ari_median,nmi_mean,nmi_std,nmi_median,silhouette_mean,silhouette_std,silhouette_median,davies_bouldin_mean,davies_bouldin_std,davies_bouldin_median,coverage_mean,coverage_std,coverage_median,n_runs_ok,dataset,config_id
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 3, 'n_marker_agents': 3, 'n_transporter_agents': 20, 'tau_percentile': 25, 'iterations': 2500}",0.2814498656994047,0.05090987883692317,0.28032999151988347,0.4533621705429533,0.03267464242823101,0.45680767892293794,-0.14022946442413325,0.04878909022802672,-0.14452248432312131,3.648592704977901,1.05243786854961,3.3522268855043382,0.9991111111111111,0.0028458329944146023,1.0,30,iris,113
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 3, 'n_marker_agents': 10, 'n_transporter_agents': 3, 'tau_percentile': 25, 'iterations': 2500}",0.2770227025169464,0.042781832857148844,0.2638610764044134,0.458790987511249,0.026505957745117836,0.4596624270719062,-0.11430565687811349,0.06724228051438368,-0.1145080589282976,3.3987045729789886,0.8674777878368511,3.1979152708828473,1.0,0.0,1.0,30,iris,115
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 3, 'n_marker_agents': 3, 'n_transporter_agents': 20, 'tau_percentile': 15, 'iterations': 2500}",0.2715308509187304,0.059153628936320195,0.2626467009235638,0.44215294857687126,0.03887482727709284,0.43470689709736005,-0.1462846741392224,0.04397679561735928,-0.14524201628709416,3.440791299705094,0.8469035623004858,3.2999135997158646,0.9973333333333333,0.010832051206181293,1.0,30,iris,112
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 3, 'n_marker_agents': 10, 'n_transporter_agents': 10, 'tau_percentile': 25, 'iterations': 2500}",0.26958073393729853,0.04373333013582117,0.2567987215394653,0.4515313484675365,0.03170626555214655,0.455871270963751,-0.11981820293377785,0.0664324449565995,-0.1179498715049476,3.640709698721713,1.2111471739895776,3.0931972958081673,1.0,0.0,1.0,30,iris,117
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 3, 'n_marker_agents': 3, 'n_transporter_agents': 3, 'tau_percentile': 25, 'iterations': 2500}",0.2694681084459252,0.04978021245509644,0.258805444305369,0.4543698441993626,0.03723188483436036,0.46009167022025094,-0.12735272977833895,0.059107135756673715,-0.13363406874448724,3.4091857779906354,1.0084629781168797,2.943128134649331,0.9997777777777778,0.001196703290474342,1.0,30,iris,109
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 3, 'n_marker_agents': 3, 'n_transporter_agents': 3, 'tau_percentile': 15, 'iterations': 2500}",0.26749804701857854,0.05053057724319127,0.26517046775240777,0.4498790750506495,0.03919235892738973,0.45187551225513267,-0.13346461853069005,0.04918533041168393,-0.13571982579382247,3.6014872580102613,0.7455962710107481,3.6323800487504334,0.9995555555555556,0.002393406580948664,1.0,30,iris,108
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 3, 'n_marker_agents': 10, 'n_transporter_agents': 3, 'tau_percentile': 15, 'iterations': 2500}",0.2661841167583929,0.045173691218863,0.25824676014783854,0.454394005117831,0.03648689346744195,0.45956084961294275,-0.1165374485262913,0.0494486210257374,-0.12630233306422733,3.5760000393351814,0.9300269091834419,3.325722321695655,1.0,0.0,1.0,30,iris,114
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 3, 'n_marker_agents': 3, 'n_transporter_agents': 10, 'tau_percentile': 25, 'iterations': 2500}",0.26507949343191745,0.05345021308534075,0.2540404652468252,0.44957924272920613,0.030634144940469253,0.44763447334554873,-0.13284530768427086,0.06843566839496625,-0.13486281218812302,3.500778138972533,1.1586035307844014,3.1804366955535155,0.9977777777777778,0.009787873575797888,1.0,30,iris,111
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 3, 'n_marker_agents': 20, 'n_transporter_agents': 20, 'tau_percentile': 25, 'iterations': 2500}",0.2647006214097203,0.03612622960749979,0.2613614399705785,0.4464780792821338,0.03084099931380502,0.45154868102407036,-0.1070148431759684,0.047387507518027276,-0.09810802833081053,3.363520893621325,0.8578680838836994,3.221888110344697,1.0,0.0,1.0,30,iris,125
"{'grid_scale': 4.0, 'beacon_radius': 12, 'local_beacon_cap': 3, 'n_marker_agents': 20, 'n_transporter_agents': 3, 'tau_percentile': 25, 'iterations': 2500}",0.26251350770135184,0.03935564713994322,0.2688614622918494,0.44693453655358806,0.03158400029314611,0.45361693624510213,-0.11687212741797595,0.05549734531178085,-0.12161693483260982,3.3982251418447325,0.9098804769093644,3.085832755896316,1.0,0.0,1.0,30,iris,121
